,agent,time,event,next_position,travel_time,moving,waiting,task,position,picked_up_item,locked_item
6802,140215394946928,4847.455636353163,pick_up_end,,,0,0,1,140215394819520.0,140215394840880.0,140215394840880.0
6803,140215394946928,4847.455636353163,moving_start,140215394819088.0,0.5,1,0,1,,140215394840880.0,140215394840880.0
6804,140215394946400,4847.7408289681225,moving_end,,,0,0,1,140215394819520.0,,140215395826368.0
6805,140215394946400,4847.7408289681225,pick_up_start,,,0,0,1,140215394819520.0,,140215395826368.0
6806,140215394946400,4847.840828968123,pick_up_end,,,0,0,1,140215394819520.0,140215395826368.0,140215395826368.0
6807,140215394946400,4847.840828968123,moving_start,140215394819088.0,0.5,1,0,1,,140215395826368.0,140215395826368.0
6808,140215394946928,4847.955636353163,moving_end,,,0,0,1,140215394819088.0,140215394840880.0,140215394840880.0
6809,140215394946928,4847.955636353163,store_item_start,,,0,0,1,140215394819088.0,140215394840880.0,140215394840880.0
6810,140215394946928,4848.055636353163,store_item_end,,,0,0,1,140215394819088.0,,140215394840880.0
6811,140215394819904,4848.055636353163,start_task,,,0,0,1,140215394818800.0,,
6812,140215394840928,4848.055636353163,start_task,,,0,0,1,140215394843712.0,,
6813,140215394819904,4848.055636353163,moving_start,140215394819088.0,0.6666666666666666,1,0,1,,,140215394840880.0
6814,140215394840928,4848.055636353163,moving_start,140215394944768.0,1.3333333333333333,1,0,1,,,140215398207152.0
6815,140215394946928,4848.055636353163,end_of_main_process,,,0,0,0,140215394819088.0,,
6816,140215394946400,4848.340828968123,moving_end,,,0,0,1,140215394819088.0,140215395826368.0,140215395826368.0
6817,140215394946400,4848.340828968123,store_item_start,,,0,0,1,140215394819088.0,140215395826368.0,140215395826368.0
6818,140215394946400,4848.440828968123,store_item_end,,,0,0,1,140215394819088.0,,140215395826368.0
6819,140215394841168,4848.440828968123,start_task,,,0,0,1,140215394843328.0,,
6820,140215394841168,4848.440828968123,moving_start,140215394819088.0,0.6666666666666666,1,0,1,,,140215395826368.0
6821,140215394946400,4848.440828968123,end_of_main_process,,,0,0,0,140215394819088.0,,
6822,140215394819904,4848.72230301983,moving_end,,,0,0,1,140215394819088.0,,140215394840880.0
6823,140215394819904,4848.72230301983,pick_up_start,,,0,0,1,140215394819088.0,,140215394840880.0
6824,140215394819904,4848.8223030198305,pick_up_end,,,0,0,1,140215394819088.0,140215394840880.0,140215394840880.0
6825,140215394819904,4848.8223030198305,moving_start,140215394944768.0,1.0,1,0,1,,140215394840880.0,140215394840880.0
6826,140215394841168,4849.10749563479,moving_end,,,0,0,1,140215394819088.0,,140215395826368.0
6827,140215394841168,4849.10749563479,pick_up_start,,,0,0,1,140215394819088.0,,140215395826368.0
6828,140215394841168,4849.207495634791,pick_up_end,,,0,0,1,140215394819088.0,140215395826368.0,140215395826368.0
6829,140215394841168,4849.207495634791,moving_start,140215394844000.0,0.3333333333333333,1,0,1,,140215395826368.0,140215395826368.0
6830,140215394840928,4849.388969686496,moving_end,,,0,0,1,140215394944768.0,,140215398207152.0
6831,140215394840928,4849.388969686496,pick_up_start,,,0,0,1,140215394944768.0,,140215398207152.0
6832,140215394840928,4849.488969686497,pick_up_end,,,0,0,1,140215394944768.0,140215398207152.0,140215398207152.0
6833,140215394840928,4849.488969686497,moving_start,140215394843712.0,1.3333333333333333,1,0,1,,140215398207152.0,140215398207152.0
6834,140215394841168,4849.540828968124,moving_end,,,0,0,1,140215394844000.0,140215395826368.0,140215395826368.0
6835,140215394841168,4849.540828968124,store_item_start,,,0,0,1,140215394844000.0,140215395826368.0,140215395826368.0
6836,140215394841168,4849.640828968124,store_item_end,,,0,0,1,140215394844000.0,,140215395826368.0
6837,140215394841168,4849.640828968124,end_of_main_process,,,0,0,0,140215394844000.0,,
6838,140215394819904,4849.8223030198305,moving_end,,,0,0,1,140215394944768.0,140215394840880.0,140215394840880.0
6839,140215394819904,4849.8223030198305,store_item_start,,,0,0,1,140215394944768.0,140215394840880.0,140215394840880.0
6840,140215394819904,4849.922303019831,store_item_end,,,0,0,1,140215394944768.0,,140215394840880.0
6841,140215394819904,4849.922303019831,end_of_main_process,,,0,0,0,140215394944768.0,,
6842,140215394840928,4850.82230301983,moving_end,,,0,0,1,140215394843712.0,140215398207152.0,140215398207152.0
6843,140215394840928,4850.82230301983,store_item_start,,,0,0,1,140215394843712.0,140215398207152.0,140215398207152.0
6844,140215394840928,4850.92230301983,store_item_end,,,0,0,1,140215394843712.0,,140215398207152.0
6845,140215394840928,4850.92230301983,end_of_main_process,,,0,0,0,140215394843712.0,,
6846,140215394819904,4943.668444153904,start_task,,,0,0,1,140215394944768.0,,
6847,140215394840928,4943.668444153904,start_task,,,0,0,1,140215394843712.0,,
6848,140215394819904,4943.668444153904,pick_up_start,,,0,0,1,140215394944768.0,,140215394840880.0
6849,140215394840928,4943.668444153904,pick_up_start,,,0,0,1,140215394843712.0,,140215398207152.0
6850,140215394819904,4943.768444153904,pick_up_end,,,0,0,1,140215394944768.0,140215394840880.0,140215394840880.0
6851,140215394840928,4943.768444153904,pick_up_end,,,0,0,1,140215394843712.0,140215398207152.0,140215398207152.0
6852,140215394819904,4943.768444153904,moving_start,140215394843712.0,1.3333333333333333,1,0,1,,140215394840880.0,140215394840880.0
6853,140215394840928,4943.768444153904,moving_start,140215394944768.0,1.3333333333333333,1,0,1,,140215398207152.0,140215398207152.0
6854,140215394819904,4945.101777487237,moving_end,,,0,0,1,140215394843712.0,140215394840880.0,140215394840880.0
6855,140215394840928,4945.101777487237,moving_end,,,0,0,1,140215394944768.0,140215398207152.0,140215398207152.0
6856,140215394819904,4945.101777487237,store_item_start,,,0,0,1,140215394843712.0,140215394840880.0,140215394840880.0
6857,140215394840928,4945.101777487237,store_item_start,,,0,0,1,140215394944768.0,140215398207152.0,140215398207152.0
