,item,time,event,started,over_due,blocked,tasks_finished,completed,picked_up,transportation,processing,wait_for_repair,tasks_remaining,cell,position,position_type,picked_up_by,locked_by
144,140347424317936,221.31531550428176,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423537472.0,,None,140347423536800.0,140347423536800.0
145,140347424317936,221.81531550428176,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423537472.0,140347423537040.0,Machine,140347423536800.0,140347423536800.0
146,140347424317936,221.91531550428175,put_down,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423537040.0,Machine,,140347423536800.0
147,140347424317936,221.91531550428175,unlocked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423537040.0,Machine,,
148,140347424317936,222.01531550428174,processing_start,1,0,0,0,0,0,0,1,0,1,140347423537472.0,140347423537040.0,Machine,,
149,140347424318752,224.86065112131976,processing_start,1,0,0,0,0,0,0,1,0,1,140347423535936.0,140347423537376.0,Machine,,
150,140347424317936,228.8540378867512,processing_finished,1,0,0,1,0,0,0,0,0,0,140347423537472.0,140347423537040.0,Machine,,
151,140347424317936,228.9540378867512,locked,1,0,0,1,0,0,0,0,0,0,140347423537472.0,140347423537040.0,Machine,,140347423536800.0
152,140347424317936,229.0540378867512,picked_up,1,0,0,1,0,1,0,0,0,0,140347423537472.0,,None,140347423536800.0,140347423536800.0
153,140347424317936,229.0540378867512,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423537472.0,,None,140347423536800.0,140347423536800.0
154,140347424317936,229.5540378867512,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423537472.0,140347423535888.0,InterfaceBuffer,140347423536800.0,140347423536800.0
155,140347424317936,229.65403788675118,cell_change,1,0,0,1,0,1,0,0,0,0,140347423537472.0,140347423535888.0,InterfaceBuffer,140347423536800.0,140347423536800.0
156,140347424317936,229.65403788675118,put_down,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,140347423536800.0
157,140347424317936,229.65403788675118,unlocked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,
158,140347424317936,229.65403788675118,locked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423535888.0,InterfaceBuffer,,140347423614576.0
159,140347424317936,230.95403788675117,picked_up,1,0,0,1,0,1,0,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
160,140347424317936,230.95403788675117,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
161,140347424317936,231.70403788675117,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
162,140347424317936,231.80403788675116,cell_change,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
163,140347424317936,231.80403788675116,put_down,1,0,0,1,1,0,0,0,0,0,,,None,,140347423614576.0
164,140347424317936,231.80403788675116,unlocked,1,0,0,1,1,0,0,0,0,0,,,None,,
165,140347424318752,236.7081564097669,processing_finished,1,0,0,1,0,0,0,0,0,0,140347423535936.0,140347423537376.0,Machine,,
166,140347424318752,236.8081564097669,locked,1,0,0,1,0,0,0,0,0,0,140347423535936.0,140347423537376.0,Machine,,140347423538768.0
167,140347424318752,236.9081564097669,picked_up,1,0,0,1,0,1,0,0,0,0,140347423535936.0,,None,140347423538768.0,140347423538768.0
168,140347424318752,236.9081564097669,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423535936.0,,None,140347423538768.0,140347423538768.0
169,140347424318752,237.4081564097669,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423535936.0,140347423538048.0,InterfaceBuffer,140347423538768.0,140347423538768.0
170,140347424318752,237.50815640976688,cell_change,1,0,0,1,0,1,0,0,0,0,140347423535936.0,140347423538048.0,InterfaceBuffer,140347423538768.0,140347423538768.0
171,140347424318752,237.50815640976688,put_down,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,140347423538768.0
172,140347424318752,237.50815640976688,unlocked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,
173,140347424318752,237.50815640976688,locked,1,0,0,1,0,0,0,0,0,0,140347423616016.0,140347423538048.0,InterfaceBuffer,,140347423614576.0
174,140347424318752,238.35815640976688,picked_up,1,0,0,1,0,1,0,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
175,140347424318752,238.35815640976688,transportation_start,1,0,0,1,0,1,1,0,0,0,140347423616016.0,,None,140347423614576.0,140347423614576.0
176,140347424318752,239.10815640976688,transportation_end,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
177,140347424318752,239.20815640976687,cell_change,1,0,0,1,0,1,0,0,0,0,140347423616016.0,140347423613760.0,InterfaceBuffer,140347423614576.0,140347423614576.0
178,140347424318752,239.20815640976687,put_down,1,0,0,1,1,0,0,0,0,0,,,None,,140347423614576.0
179,140347424318752,239.20815640976687,unlocked,1,0,0,1,1,0,0,0,0,0,,,None,,
180,140347423660928,399.96739206563547,order_arrival,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,
181,140347423660928,399.96739206563547,locked,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,140347423614576.0
