,machine,time,event,est_time,next_setup_type,current_setup_type,load_item,manufacturing,setup,idle,repair,item_in_input,item_in_machine,item_in_output
209,140383847074688,356.3093057639752,failure_end,,,140383846907520.0,0,1,0,0,0,140383847390800.0,140383847546448.0,
210,140383847074688,361.5067711741326,production_end,,,140383846907520.0,0,0,0,1,0,140383847390800.0,140383847546448.0,
211,140383847074688,361.5067711741326,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847390800.0,140383847546448.0,
212,140383847074688,361.60677117413263,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847390800.0,,140383847546448.0
213,140383847074688,361.60677117413263,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847390800.0,,140383847546448.0
214,140383847074688,361.70677117413265,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847390800.0,140383847546448.0
215,140383847074688,361.70677117413265,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847390800.0,140383847546448.0
216,140383847074688,363.67343784079935,item_stored,,,140383846907520.0,0,1,0,0,0,140383847544528.0,140383847390800.0,
217,140383847074688,367.70677117413265,production_end,,,140383846907520.0,0,0,0,1,0,140383847544528.0,140383847390800.0,
218,140383847074688,367.70677117413265,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847544528.0,140383847390800.0,
219,140383847074688,367.8067711741327,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847544528.0,,140383847390800.0
220,140383847074688,367.8067711741327,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847544528.0,,140383847390800.0
221,140383847074688,367.9067711741327,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847544528.0,
222,140383847074688,367.9067711741327,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847544528.0,
223,140383847074688,369.5401045074661,item_stored,,,140383846907520.0,0,1,0,0,0,140383847543328.0,140383847544528.0,
224,140383847074688,373.9067711741327,production_end,,,140383846907520.0,0,0,0,1,0,140383847543328.0,140383847544528.0,
225,140383847074688,373.9067711741327,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847543328.0,140383847544528.0,
226,140383847074688,374.0067711741327,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847543328.0,,140383847544528.0
227,140383847074688,374.0067711741327,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847543328.0,,140383847544528.0
228,140383847074688,374.10677117413275,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847543328.0,140383847544528.0
229,140383847074688,374.10677117413275,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847543328.0,140383847544528.0
230,140383847074688,376.07343784079944,item_stored,,,140383846907520.0,0,1,0,0,0,140383847546688.0,140383847543328.0,
231,140383847074688,380.10677117413275,production_end,,,140383846907520.0,0,0,0,1,0,140383847546688.0,140383847543328.0,
232,140383847074688,380.10677117413275,release_item_start,,,140383846907520.0,0,0,0,0,0,140383847546688.0,140383847543328.0,
233,140383847074688,380.20677117413277,release_item_end,,,140383846907520.0,0,0,0,1,0,140383847546688.0,,140383847543328.0
234,140383847074688,380.20677117413277,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847546688.0,,140383847543328.0
235,140383847074688,380.3067711741328,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847546688.0,140383847543328.0
236,140383847074688,380.3067711741328,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847546688.0,140383847543328.0
237,140383847074688,383.14444444444456,item_stored,,,140383846907520.0,0,1,0,0,0,140383847545728.0,140383847546688.0,
238,140383847074688,386.2984512526056,failure_start,38.41986057384091,,140383846907520.0,0,0,0,0,1,140383847545728.0,140383847546688.0,
239,140383847074688,424.71831182644655,failure_end,,,140383846907520.0,0,1,0,0,0,140383847545728.0,140383847546688.0,
240,140383847074688,424.7266317479737,production_end,,,140383846907520.0,0,0,0,1,0,140383847545728.0,140383847546688.0,
