,buffer,time,event,event_item,full,items_in_storage
329,140649311044176,86.82356218636227,item_picked_up,140649310990240.0,0,0
330,140649311047536,87.11333333333333,item_picked_up,140649311046672.0,0,0
331,140649311064560,87.19022885302893,item_stored,140649310990240.0,0,0
332,140649311010768,87.47999999999999,item_stored,140649311046672.0,0,1
333,140649311010768,87.92666666666665,item_picked_up,140649311046672.0,0,0
334,140649310988128,88.25999999999998,item_stored,140649311046672.0,0,1
335,140649310988128,88.49333333333331,item_picked_up,140649311046672.0,0,0
336,140649312699584,88.72666666666665,item_stored,140649311046672.0,0,2
337,140649311047536,90.0,order_arrival,,0,1
338,140649312699920,90.00666666666667,item_stored,140649310987552.0,0,1
339,140649311047536,90.36666666666666,item_picked_up,140649312700592.0,0,0
340,140649312699584,90.39333333333336,item_stored,140649313426160.0,1,3
341,140649311010768,90.73333333333332,item_stored,140649312700592.0,0,1
342,140649311010768,91.06666666666665,item_picked_up,140649312700592.0,0,0
343,140649312699584,91.16000000000004,item_picked_up,140649311046672.0,0,2
344,140649310988128,91.39999999999998,item_stored,140649312700592.0,0,1
345,140649310988128,91.56666666666663,item_picked_up,140649312700592.0,0,0
346,140649312699584,91.79999999999997,item_stored,140649312700592.0,1,3
347,140649312701552,91.88666666666667,item_stored,140649311008608.0,0,1
348,140649312701552,92.17999999999999,item_picked_up,140649311008608.0,0,0
349,140649311044176,92.47999999999999,item_stored,140649311008608.0,0,1
350,140649312699920,92.58666666666667,item_picked_up,140649310987552.0,0,0
351,140649310988944,92.7635621863623,item_stored,140649310989664.0,0,1
352,140649310988944,93.09689551969562,item_picked_up,140649310989664.0,0,0
353,140649311044176,93.35333333333331,item_picked_up,140649311008608.0,0,0
354,140649311044176,93.43022885302895,item_stored,140649310989664.0,0,1
355,140649312699584,93.53022885302896,item_picked_up,140649313426160.0,0,2
356,140649311047536,93.60000000000001,order_arrival,,0,1
357,140649311064560,93.71999999999997,item_stored,140649311008608.0,0,0
358,140649311044176,93.79689551969561,item_picked_up,140649310989664.0,0,0
359,140649311045568,94.29022885302894,item_stored,140649310989664.0,0,1
360,140649311047536,94.4333333333333,item_picked_up,140649313427408.0,0,0
361,140649311045568,94.67022885302893,item_picked_up,140649310989664.0,0,0
362,140649311010768,94.79999999999995,item_stored,140649313427408.0,0,1
363,140649311006832,94.9368955196956,item_stored,140649310989664.0,1,1
364,140649311006832,95.13689551969559,item_picked_up,140649310989664.0,0,0
365,140649311010768,95.24666666666661,item_picked_up,140649313427408.0,0,0
366,140649312700832,95.54666666666661,item_stored,140649313427408.0,0,1
367,140649312700832,95.81333333333328,item_picked_up,140649313427408.0,0,0
368,140649311047536,97.2,order_arrival,,0,1
369,140649312699584,97.37333333333336,item_stored,140649311008656.0,1,3
370,140649311047536,97.56666666666666,item_picked_up,140649311008512.0,0,0
371,140649311007408,97.58647122322338,item_stored,140649313423760.0,1,1
372,140649311007408,97.92647122322337,item_picked_up,140649313423760.0,0,0
373,140649311010768,97.93333333333332,item_stored,140649311008512.0,0,1
374,140649312699584,98.14000000000004,item_picked_up,140649312700592.0,0,2
375,140649311046144,98.19313788989004,item_stored,140649313423760.0,0,1
376,140649311010768,98.23333333333332,item_picked_up,140649311008512.0,0,0
377,140649312700832,98.53333333333332,item_stored,140649311008512.0,0,1
378,140649311046144,98.68647122322336,item_picked_up,140649313423760.0,0,0
379,140649312700832,98.7333333333333,item_picked_up,140649311008512.0,0,0
380,140649311064560,99.15313788989002,item_stored,140649313423760.0,0,0
381,140649310988944,99.67689551969562,item_stored,140649313423424.0,0,1
382,140649310988944,99.97022885302894,item_picked_up,140649313423424.0,0,0
383,140649311044176,100.30356218636227,item_stored,140649313423424.0,0,1
384,140649312699584,100.51022885302896,item_picked_up,140649311008656.0,0,1
385,140649311044176,100.67022885302893,item_picked_up,140649313423424.0,0,0
386,140649311047536,100.8,order_arrival,,0,1
387,140649312699920,100.94,item_stored,140649313425968.0,0,1
388,140649311045568,101.16356218636226,item_stored,140649313423424.0,0,1
389,140649311047536,101.26666666666665,item_picked_up,140649311008992.0,0,0
390,140649311045568,101.54356218636225,item_picked_up,140649313423424.0,0,0
391,140649311010768,101.63333333333331,item_stored,140649311008992.0,0,1
392,140649311006832,101.81022885302892,item_stored,140649313423424.0,1,1
393,140649311006832,102.04356218636225,item_picked_up,140649313423424.0,0,0
394,140649311010768,102.07999999999997,item_picked_up,140649311008992.0,0,0
395,140649312700832,102.37999999999997,item_stored,140649311008992.0,0,1
396,140649312700832,102.64666666666663,item_picked_up,140649311008992.0,0,0
397,140649311007408,102.90647122322338,item_stored,140649310989664.0,1,1
398,140649311007408,103.24647122322337,item_picked_up,140649310989664.0,0,0
399,140649311046144,103.51313788989003,item_stored,140649310989664.0,0,1
400,140649311046144,104.18647122322336,item_picked_up,140649310989664.0,0,0
401,140649312699584,104.35333333333337,item_stored,140649311046672.0,0,2
402,140649311047536,104.4,order_arrival,,0,1
403,140649311064560,104.65313788989002,item_stored,140649310989664.0,0,0
404,140649311047536,104.76666666666667,item_picked_up,140649310986928.0,0,0
405,140649311010768,105.13333333333333,item_stored,140649310986928.0,0,1
406,140649311010768,105.43333333333332,item_picked_up,140649310986928.0,0,0
407,140649310988128,105.76666666666665,item_stored,140649310986928.0,0,1
408,140649310988128,105.99999999999999,item_picked_up,140649310986928.0,0,0
409,140649310988944,106.65689551969562,item_stored,140649313426160.0,0,1
410,140649310988944,107.06356218636229,item_picked_up,140649313426160.0,0,0
411,140649311044176,107.39689551969562,item_stored,140649313426160.0,0,1
412,140649312699584,107.49022885302897,item_picked_up,140649311046672.0,0,1
413,140649311044176,107.76356218636228,item_picked_up,140649313426160.0,0,0
414,140649311047536,108.0,order_arrival,,0,1
415,140649311045568,108.2568955196956,item_stored,140649313426160.0,0,1
416,140649311007408,108.32647122322336,item_stored,140649313423424.0,1,1
417,140649311047536,108.36666666666666,item_picked_up,140649311008848.0,0,0
418,140649311045568,108.6368955196956,item_picked_up,140649313426160.0,0,0
419,140649311007408,108.66647122322335,item_picked_up,140649313423424.0,0,0
420,140649311010768,108.73333333333332,item_stored,140649311008848.0,0,1
421,140649311006832,108.90356218636227,item_stored,140649313426160.0,1,1
422,140649311046144,108.93313788989002,item_stored,140649313423424.0,0,1
423,140649311006832,109.1368955196956,item_picked_up,140649313426160.0,0,0
424,140649311010768,109.17999999999998,item_picked_up,140649311008848.0,0,0
425,140649312700832,109.47999999999998,item_stored,140649311008848.0,0,1
426,140649311046144,109.60647122322335,item_picked_up,140649313423424.0,0,0
